Date,Customer_ID,Customer_Name,Channel,Region,Product_Type,SKU_ID,Shelf_Life,Units_Delivered,Units_Sold,Returns_Units,Waste_Units,Net_Sales_Units,Price_per_Unit,Revenue,Cost_per_Unit,Margin_Pct,Promotion,Discount_Rate,Stock_Out,Delivery_Delay,Sales_Rep_Efficiency_Score,Customer_Type,Repeat_Order
2024-12-23,CUST-0119,SunMart #119,Supermarket,urban,Lavash,SKU-LV-004,5,297,91,0,0,91,0.9,81.9,0.5,44.44,No,0.0,Yes,0,95.3,High Volume,Yes
2024-08-21,CUST-0011,Daily Bake #11,Bakery Shop,urban,Baguette,SKU-BG-003,1,18,8,4,3,4,1.8,14.4,1.0,44.44,No,0.0,No,0,29.3,Low,No
2024-07-13,CUST-0168,Artisan Loaf #168,Bakery Shop,suburban,Baguette,SKU-BG-003,1,65,44,13,4,31,1.8,79.2,1.0,44.44,No,0.0,No,0,54.2,Medium,Yes
2024-11-10,CUST-0069,Plaza Bistro #69,Horeca,urban,White Bread,SKU-WB-001,3,55,45,5,2,40,1.03,46.44,0.72,30.23,Yes,14.0,No,0,73.8,Medium,Yes
2024-08-12,CUST-0177,Sweet Crust #177,Bakery Shop,rural,Lavash,SKU-LV-004,5,77,66,7,0,59,0.74,48.65,0.5,32.17,Yes,18.1,No,0,68.9,High Volume,Yes
2024-10-12,CUST-0094,LocalBuy #94,Minimarket,suburban,Toast Bread,SKU-TB-005,5,93,65,10,11,55,1.4,91.0,0.8,42.86,No,0.0,No,2,64.0,Medium,Yes
2024-11-23,CUST-0009,Crispy Corner #9,Bakery Shop,urban,Toast Bread,SKU-TB-005,5,14,8,2,1,6,1.4,11.2,0.8,42.86,No,0.0,No,0,36.7,Low,Yes
2024-07-30,CUST-0007,Daily Bake #7,Bakery Shop,rural,Whole Wheat,SKU-WW-002,4,24,11,6,4,5,1.5,16.5,0.9,40.0,No,0.0,No,1,30.1,Low,No
2024-08-21,CUST-0032,PocketStore #32,Minimarket,suburban,Whole Wheat,SKU-WW-002,4,35,27,4,1,23,1.5,40.5,0.9,40.0,No,0.0,No,0,77.7,Medium,Yes
2024-12-29,CUST-0017,Crispy Corner #17,Bakery Shop,urban,Toast Bread,SKU-TB-005,5,73,54,8,3,46,1.4,75.6,0.8,42.86,No,0.0,No,0,74.3,Medium,No
2024-08-30,CUST-0127,Daily Bake #127,Bakery Shop,urban,White Bread,SKU-WB-001,3,33,24,3,2,21,1.2,28.8,0.72,40.0,No,0.0,No,0,66.0,Medium,No
2024-10-31,CUST-0135,Golden Crust #135,Bakery Shop,urban,Lavash,SKU-LV-004,5,29,11,0,0,11,0.9,9.9,0.5,44.44,No,0.0,Yes,0,60.1,Medium,Yes
2024-09-27,CUST-0033,SunMart #33,Supermarket,suburban,Toast Bread,SKU-TB-005,5,33,22,5,2,17,1.13,24.79,0.8,29.02,Yes,19.5,No,0,46.6,Low,Yes
2024-12-29,CUST-0058,SunMart #58,Supermarket,rural,Baguette,SKU-BG-003,1,366,298,64,2,234,1.8,536.4,1.0,44.44,No,0.0,No,1,93.8,High Volume,Yes
2024-11-29,CUST-0149,MetroMart #149,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,324,240,21,15,219,1.5,360.0,0.9,40.0,No,0.0,No,0,74.0,High Volume,No
2024-11-25,CUST-0068,Sweet Crust #68,Bakery Shop,suburban,Whole Wheat,SKU-WW-002,4,30,17,6,1,11,1.5,25.5,0.9,40.0,No,0.0,No,0,56.0,Low,Yes
2024-12-23,CUST-0104,The Breadhouse #104,Horeca,suburban,Baguette,SKU-BG-003,1,24,12,6,3,6,1.8,21.6,1.0,44.44,No,0.0,No,0,40.6,Low,No
2024-09-27,CUST-0103,The Breadhouse #103,Horeca,rural,Whole Wheat,SKU-WW-002,4,24,8,0,0,8,1.5,12.0,0.9,40.0,No,0.0,Yes,1,39.9,Low,Yes
2024-09-13,CUST-0099,Golden Crust #99,Bakery Shop,urban,Toast Bread,SKU-TB-005,5,61,45,6,3,39,1.4,63.0,0.8,42.86,No,0.0,No,0,47.5,Medium,No
2024-10-28,CUST-0128,Tavern Hill #128,Horeca,rural,Baguette,SKU-BG-003,1,33,21,6,4,15,1.6,33.68,1.0,37.65,Yes,10.9,No,1,69.6,Medium,Yes
2024-10-29,CUST-0074,Artisan Loaf #74,Bakery Shop,suburban,Toast Bread,SKU-TB-005,5,22,13,3,2,10,1.3,16.93,0.8,38.56,Yes,7.0,No,0,38.3,Low,Yes
2024-11-19,CUST-0074,Artisan Loaf #74,Bakery Shop,suburban,White Bread,SKU-WB-001,3,29,17,5,4,12,1.2,20.4,0.72,40.0,No,0.0,No,0,44.3,Low,Yes
2024-09-25,CUST-0143,Grand Diner #143,Horeca,suburban,Baguette,SKU-BG-003,1,51,39,8,2,31,1.57,61.35,1.0,36.44,Yes,12.6,No,1,68.2,Medium,No
2024-08-05,CUST-0084,Grand Diner #84,Horeca,suburban,Toast Bread,SKU-TB-005,5,107,87,7,3,80,1.4,121.8,0.8,42.86,No,0.0,No,0,84.4,High Volume,Yes
2024-09-15,CUST-0122,FastCorner #122,Minimarket,suburban,White Bread,SKU-WB-001,3,98,77,12,3,65,1.2,92.4,0.72,40.0,No,0.0,No,0,67.9,Medium,Yes
2024-12-15,CUST-0199,Sunrise Cafe #199,Horeca,suburban,Toast Bread,SKU-TB-005,5,35,21,7,3,14,1.4,29.4,0.8,42.86,No,0.0,No,2,51.8,Low,No
2024-12-27,CUST-0029,EasyBuy #29,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,132,92,16,9,76,1.5,138.0,0.9,40.0,No,0.0,No,0,43.1,Medium,No
2024-07-16,CUST-0181,FastCorner #181,Minimarket,urban,Whole Wheat,SKU-WW-002,4,54,37,5,4,32,1.5,55.5,0.9,40.0,No,0.0,No,0,60.2,Medium,Yes
2024-09-29,CUST-0174,SunMart #174,Supermarket,rural,Baguette,SKU-BG-003,1,311,282,29,0,253,1.64,463.44,1.0,39.15,Yes,8.7,No,3,78.6,High Volume,Yes
2024-11-21,CUST-0185,Sweet Crust #185,Bakery Shop,urban,Baguette,SKU-BG-003,1,50,35,10,3,25,1.8,63.0,1.0,44.44,No,0.0,No,0,52.5,Medium,Yes
2024-09-12,CUST-0183,GreenMart #183,Supermarket,suburban,White Bread,SKU-WB-001,3,231,204,12,6,192,1.2,244.8,0.72,40.0,No,0.0,No,0,79.0,High Volume,Yes
2024-07-28,CUST-0158,ExpressGo #158,Minimarket,urban,Toast Bread,SKU-TB-005,5,41,36,3,0,33,1.14,41.03,0.8,29.8,Yes,18.6,No,0,57.5,Medium,Yes
2024-11-18,CUST-0041,FastCorner #41,Minimarket,suburban,Lavash,SKU-LV-004,5,78,58,8,3,50,0.9,52.2,0.5,44.44,No,0.0,No,0,68.6,Medium,No
2024-07-23,CUST-0167,MetroMart #167,Supermarket,rural,Toast Bread,SKU-TB-005,5,133,93,20,17,73,1.4,130.2,0.8,42.86,No,0.0,No,3,54.3,Medium,No
2024-10-10,CUST-0127,Daily Bake #127,Bakery Shop,urban,Whole Wheat,SKU-WW-002,4,25,18,3,1,15,1.5,27.0,0.9,40.0,No,0.0,No,0,75.3,Medium,Yes
2024-10-25,CUST-0165,Hotel Royal #165,Horeca,urban,Toast Bread,SKU-TB-005,5,47,32,4,3,28,1.4,44.8,0.8,42.86,No,0.0,No,0,49.2,Medium,Yes
2024-09-04,CUST-0184,Tavern Hill #184,Horeca,rural,Whole Wheat,SKU-WW-002,4,16,7,4,2,3,1.5,10.5,0.9,40.0,No,0.0,No,0,13.0,Low,No
2024-11-09,CUST-0084,Grand Diner #84,Horeca,suburban,White Bread,SKU-WB-001,3,79,73,4,0,69,0.96,70.34,0.72,25.28,Yes,19.7,No,0,85.7,High Volume,Yes
2024-11-24,CUST-0003,DailyMart #3,Minimarket,rural,Baguette,SKU-BG-003,1,66,35,0,0,35,1.8,63.0,1.0,44.44,No,0.0,Yes,1,55.8,Medium,No
2024-09-18,CUST-0177,Sweet Crust #177,Bakery Shop,rural,White Bread,SKU-WB-001,3,90,64,10,14,54,1.2,76.8,0.72,40.0,No,0.0,No,3,73.5,High Volume,Yes
2024-11-18,CUST-0121,Grand Diner #121,Horeca,urban,Toast Bread,SKU-TB-005,5,29,16,5,3,11,1.4,22.4,0.8,42.86,No,0.0,No,0,28.9,Low,No
2024-07-20,CUST-0145,Morning Loaf #145,Bakery Shop,rural,White Bread,SKU-WB-001,3,77,65,8,1,57,1.2,78.0,0.72,40.0,No,0.0,No,0,70.4,High Volume,Yes
2024-11-03,CUST-0024,Classic Bread #24,Bakery Shop,suburban,Toast Bread,SKU-TB-005,5,70,60,7,1,53,1.3,78.12,0.8,38.56,Yes,7.0,No,0,46.0,Medium,No
2024-08-25,CUST-0149,MetroMart #149,Supermarket,suburban,White Bread,SKU-WB-001,3,245,102,0,0,102,1.2,122.4,0.72,40.0,No,0.0,Yes,0,71.9,High Volume,Yes
2024-08-16,CUST-0197,Harbor Inn #197,Horeca,rural,Whole Wheat,SKU-WW-002,4,54,37,10,1,27,1.5,55.5,0.9,40.0,No,0.0,No,0,76.8,Medium,Yes
2024-12-17,CUST-0139,EasyBuy #139,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,63,34,14,6,20,1.5,51.0,0.9,40.0,No,0.0,No,0,46.6,Low,No
2024-09-15,CUST-0119,SunMart #119,Supermarket,urban,Toast Bread,SKU-TB-005,5,249,242,7,0,235,1.4,338.8,0.8,42.86,No,0.0,No,0,92.0,High Volume,Yes
2024-10-16,CUST-0158,ExpressGo #158,Minimarket,urban,White Bread,SKU-WB-001,3,33,25,2,2,23,1.03,25.83,0.72,30.31,Yes,13.9,No,0,57.5,Medium,Yes
2024-07-15,CUST-0036,FreshMart #36,Supermarket,urban,Toast Bread,SKU-TB-005,5,153,111,19,6,92,1.4,155.4,0.8,42.86,No,0.0,No,0,60.0,Medium,Yes
2024-08-06,CUST-0170,Classic Bread #170,Bakery Shop,urban,Toast Bread,SKU-TB-005,5,116,56,0,0,56,1.4,78.4,0.8,42.86,No,0.0,Yes,0,89.5,High Volume,Yes
2024-12-21,CUST-0110,Plaza Bistro #110,Horeca,urban,Toast Bread,SKU-TB-005,5,72,54,7,3,47,1.4,75.6,0.8,42.86,No,0.0,No,0,73.2,Medium,Yes
2024-10-30,CUST-0062,QuickShop #62,Minimarket,rural,Whole Wheat,SKU-WW-002,4,65,42,10,3,32,1.5,63.0,0.9,40.0,No,0.0,No,0,60.4,Medium,Yes
2024-09-04,CUST-0053,MiniStop #53,Minimarket,suburban,Baguette,SKU-BG-003,1,42,25,7,8,18,1.8,45.0,1.0,44.44,No,0.0,No,2,70.5,Medium,Yes
2024-07-19,CUST-0049,Bistro Verde #49,Horeca,rural,Toast Bread,SKU-TB-005,5,20,10,5,1,5,1.4,14.0,0.8,42.86,No,0.0,No,0,51.6,Low,Yes
2024-07-31,CUST-0192,Golden Crust #192,Bakery Shop,rural,Lavash,SKU-LV-004,5,40,26,7,1,19,0.9,23.4,0.5,44.44,No,0.0,No,0,65.5,Medium,Yes
2024-09-30,CUST-0079,Tavern Hill #79,Horeca,suburban,Baguette,SKU-BG-003,1,60,40,10,5,30,1.8,72.0,1.0,44.44,No,0.0,No,0,43.3,Medium,Yes
2024-07-12,CUST-0145,Morning Loaf #145,Bakery Shop,rural,Whole Wheat,SKU-WW-002,4,78,64,6,2,58,1.3,83.23,0.9,30.8,Yes,13.3,No,0,81.2,High Volume,Yes
2024-11-05,CUST-0141,Crispy Corner #141,Bakery Shop,rural,Baguette,SKU-BG-003,1,25,10,6,5,4,1.8,18.0,1.0,44.44,No,0.0,No,0,39.2,Low,Yes
2024-11-17,CUST-0126,DailyMart #126,Minimarket,suburban,Whole Wheat,SKU-WW-002,4,42,32,5,2,27,1.5,48.0,0.9,40.0,No,0.0,No,1,74.6,Medium,No
2024-08-29,CUST-0018,Morning Loaf #18,Bakery Shop,rural,Whole Wheat,SKU-WW-002,4,64,45,11,1,34,1.5,67.5,0.9,40.0,No,0.0,No,0,55.9,Medium,Yes
2024-10-14,CUST-0004,NearStop #4,Minimarket,rural,White Bread,SKU-WB-001,3,73,47,14,7,33,1.2,56.4,0.72,40.0,No,0.0,No,2,74.2,Medium,No
2024-11-12,CUST-0039,Flour House #39,Bakery Shop,suburban,Whole Wheat,SKU-WW-002,4,22,10,5,2,5,1.5,15.0,0.9,40.0,No,0.0,No,0,36.8,Low,Yes
2024-12-26,CUST-0058,SunMart #58,Supermarket,rural,Baguette,SKU-BG-003,1,188,131,30,15,101,1.8,235.8,1.0,44.44,No,0.0,No,0,89.6,High Volume,Yes
2024-07-03,CUST-0180,Daily Bake #180,Bakery Shop,urban,Whole Wheat,SKU-WW-002,4,31,22,4,1,18,1.5,33.0,0.9,40.0,No,0.0,No,0,38.6,Medium,No
2024-12-25,CUST-0146,MiniStop #146,Minimarket,rural,Lavash,SKU-LV-004,5,64,42,9,4,33,0.9,37.8,0.5,44.44,No,0.0,No,0,66.3,Medium,Yes
2024-08-23,CUST-0151,Daily Bake #151,Bakery Shop,rural,Whole Wheat,SKU-WW-002,4,40,26,7,3,19,1.5,39.0,0.9,40.0,No,0.0,No,1,63.0,Medium,Yes
2024-10-07,CUST-0194,The Breadhouse #194,Horeca,suburban,Whole Wheat,SKU-WW-002,4,52,16,0,0,16,1.5,24.0,0.9,40.0,No,0.0,Yes,0,76.5,Medium,Yes
2024-07-20,CUST-0088,Harbor Inn #88,Horeca,urban,Toast Bread,SKU-TB-005,5,11,7,2,0,5,1.4,9.8,0.8,42.86,No,0.0,No,0,43.1,Low,Yes
2024-10-05,CUST-0111,Hotel Royal #111,Horeca,suburban,Whole Wheat,SKU-WW-002,4,54,37,5,3,32,1.5,55.5,0.9,40.0,No,0.0,No,0,69.9,Medium,Yes
2024-10-08,CUST-0082,FastCorner #82,Minimarket,suburban,Baguette,SKU-BG-003,1,14,7,3,2,4,1.63,11.39,1.0,38.54,Yes,9.6,No,0,39.9,Low,No
2024-07-27,CUST-0007,Daily Bake #7,Bakery Shop,rural,White Bread,SKU-WB-001,3,22,14,5,1,9,1.03,14.45,0.72,30.23,Yes,14.0,No,0,27.8,Low,No
2024-09-01,CUST-0147,Urban Grill #147,Horeca,suburban,Toast Bread,SKU-TB-005,5,28,16,5,2,11,1.4,22.4,0.8,42.86,No,0.0,No,0,41.1,Low,No
2024-10-01,CUST-0065,Tavern Hill #65,Horeca,suburban,Whole Wheat,SKU-WW-002,4,78,63,5,2,58,1.5,94.5,0.9,40.0,No,0.0,No,0,89.9,High Volume,Yes
2024-09-23,CUST-0113,Golden Crust #113,Bakery Shop,rural,Baguette,SKU-BG-003,1,19,8,5,3,3,1.8,14.4,1.0,44.44,No,0.0,No,0,34.4,Low,Yes
2024-10-10,CUST-0082,FastCorner #82,Minimarket,suburban,Baguette,SKU-BG-003,1,20,10,5,3,5,1.8,18.0,1.0,44.44,No,0.0,No,0,49.9,Low,Yes
2024-11-22,CUST-0052,PocketStore #52,Minimarket,urban,Toast Bread,SKU-TB-005,5,75,26,0,0,26,1.17,30.39,0.8,31.57,Yes,16.5,Yes,0,79.1,Medium,No
2024-12-25,CUST-0018,Morning Loaf #18,Bakery Shop,rural,Lavash,SKU-LV-004,5,49,33,8,3,25,0.81,26.88,0.5,38.61,Yes,9.5,No,1,66.5,Medium,Yes
2024-11-07,CUST-0178,QuickStop #178,Supermarket,suburban,Lavash,SKU-LV-004,5,148,105,19,6,86,0.9,94.5,0.5,44.44,No,0.0,No,0,59.0,Medium,Yes
2024-12-18,CUST-0091,EasyBuy #91,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,264,260,4,0,256,1.2,312.78,0.9,25.19,Yes,19.8,No,0,77.7,High Volume,Yes
2024-11-08,CUST-0192,Golden Crust #192,Bakery Shop,rural,Toast Bread,SKU-TB-005,5,54,37,9,2,28,1.4,51.8,0.8,42.86,No,0.0,No,0,59.8,Medium,Yes
2024-07-07,CUST-0124,FastCorner #124,Minimarket,urban,White Bread,SKU-WB-001,3,37,23,7,3,16,1.2,27.6,0.72,40.0,No,0.0,No,0,44.3,Low,Yes
2024-10-30,CUST-0025,LocalBuy #25,Minimarket,rural,Lavash,SKU-LV-004,5,82,42,0,0,42,0.9,37.8,0.5,44.44,No,0.0,Yes,2,91.2,High Volume,Yes
2024-12-21,CUST-0043,MetroMart #43,Supermarket,urban,Whole Wheat,SKU-WW-002,4,338,302,18,5,284,1.5,453.0,0.9,40.0,No,0.0,No,0,77.3,High Volume,Yes
2024-07-08,CUST-0189,LocalBuy #189,Minimarket,suburban,Toast Bread,SKU-TB-005,5,47,34,6,2,28,1.4,47.6,0.8,42.86,No,0.0,No,1,73.9,Medium,Yes
2024-11-15,CUST-0048,Golden Crust #48,Bakery Shop,suburban,Baguette,SKU-BG-003,1,26,13,6,4,7,1.8,23.4,1.0,44.44,No,0.0,No,0,20.8,Low,Yes
2024-07-30,CUST-0090,QuickStop #90,Supermarket,suburban,Baguette,SKU-BG-003,1,256,215,31,5,184,1.8,387.0,1.0,44.44,No,0.0,No,0,87.1,High Volume,Yes
2024-08-31,CUST-0079,Tavern Hill #79,Horeca,suburban,White Bread,SKU-WB-001,3,45,33,5,3,28,1.2,39.6,0.72,40.0,No,0.0,No,0,40.5,Medium,No
2024-08-14,CUST-0143,Grand Diner #143,Horeca,suburban,Whole Wheat,SKU-WW-002,4,30,23,2,2,21,1.35,31.15,0.9,33.55,Yes,9.7,No,1,63.9,Medium,Yes
2024-12-15,CUST-0127,Daily Bake #127,Bakery Shop,urban,Lavash,SKU-LV-004,5,35,28,3,0,25,0.9,25.2,0.5,44.44,No,0.0,No,0,71.2,Medium,Yes
2024-09-12,CUST-0044,Sunrise Bakery #44,Bakery Shop,rural,Lavash,SKU-LV-004,5,61,37,11,5,26,0.9,33.3,0.5,44.44,No,0.0,No,0,47.6,Medium,Yes
2024-07-11,CUST-0195,ExpressGo #195,Minimarket,suburban,Lavash,SKU-LV-004,5,78,52,10,5,42,0.9,46.8,0.5,44.44,No,0.0,No,0,47.6,Medium,Yes
2024-07-23,CUST-0113,Golden Crust #113,Bakery Shop,rural,White Bread,SKU-WB-001,3,21,10,5,3,5,1.2,12.0,0.72,40.0,No,0.0,No,0,39.9,Low,No
2024-08-22,CUST-0053,MiniStop #53,Minimarket,suburban,White Bread,SKU-WB-001,3,48,32,5,10,27,1.2,38.4,0.72,40.0,No,0.0,No,3,69.3,Medium,No
2024-12-21,CUST-0025,LocalBuy #25,Minimarket,rural,Whole Wheat,SKU-WW-002,4,115,92,11,3,81,1.5,138.0,0.9,40.0,No,0.0,No,0,95.1,High Volume,Yes
2024-12-21,CUST-0101,QuickStop #101,Supermarket,suburban,Lavash,SKU-LV-004,5,237,213,12,3,201,0.9,191.7,0.5,44.44,No,0.0,No,0,65.9,High Volume,Yes
2024-10-03,CUST-0117,Artisan Loaf #117,Bakery Shop,urban,Lavash,SKU-LV-004,5,24,16,4,1,12,0.75,12.01,0.5,33.39,Yes,16.6,No,0,47.7,Low,No
2024-10-10,CUST-0056,UrbanGrocery #56,Supermarket,suburban,Lavash,SKU-LV-004,5,320,272,19,8,253,0.9,244.8,0.5,44.44,No,0.0,No,0,76.3,High Volume,Yes
2024-12-22,CUST-0196,Bread Haven #196,Bakery Shop,rural,White Bread,SKU-WB-001,3,40,26,7,5,19,1.2,31.2,0.72,40.0,No,0.0,No,3,45.2,Medium,No
2024-08-03,CUST-0167,MetroMart #167,Supermarket,rural,Baguette,SKU-BG-003,1,124,83,29,5,54,1.8,149.4,1.0,44.44,No,0.0,No,0,53.1,Medium,Yes
2024-12-27,CUST-0194,The Breadhouse #194,Horeca,suburban,Whole Wheat,SKU-WW-002,4,63,50,5,3,45,1.4,70.2,0.9,35.9,Yes,6.4,No,1,70.7,Medium,No
2024-10-17,CUST-0178,QuickStop #178,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,93,63,12,4,51,1.5,94.5,0.9,40.0,No,0.0,No,0,57.9,Medium,Yes
2024-08-04,CUST-0165,Hotel Royal #165,Horeca,urban,Whole Wheat,SKU-WW-002,4,51,37,5,5,32,1.5,55.5,0.9,40.0,No,0.0,No,1,41.9,Medium,No
2024-07-23,CUST-0026,FreshMart #26,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,260,228,14,5,214,1.5,342.0,0.9,40.0,No,0.0,No,0,81.0,High Volume,Yes
2024-12-01,CUST-0154,Bistro Verde #154,Horeca,rural,Toast Bread,SKU-TB-005,5,21,9,0,0,9,1.4,12.6,0.8,42.86,No,0.0,Yes,0,38.1,Low,Yes
2024-10-09,CUST-0076,Bistro Verde #76,Horeca,rural,White Bread,SKU-WB-001,3,17,9,4,2,5,1.2,10.8,0.72,40.0,No,0.0,No,0,43.2,Low,No
2024-10-01,CUST-0082,FastCorner #82,Minimarket,suburban,Whole Wheat,SKU-WW-002,4,15,9,3,1,6,1.5,13.5,0.9,40.0,No,0.0,No,0,44.4,Low,Yes
2024-07-18,CUST-0004,NearStop #4,Minimarket,rural,Baguette,SKU-BG-003,1,48,29,11,4,18,1.8,52.2,1.0,44.44,No,0.0,No,0,69.2,Medium,Yes
2024-07-22,CUST-0164,QuickStop #164,Supermarket,urban,Toast Bread,SKU-TB-005,5,99,42,0,0,42,1.31,55.1,0.8,39.02,Yes,6.3,Yes,0,48.8,Medium,Yes
2024-12-10,CUST-0196,Bread Haven #196,Bakery Shop,rural,White Bread,SKU-WB-001,3,52,32,9,6,23,1.2,38.4,0.72,40.0,No,0.0,No,1,49.4,Medium,Yes
2024-12-16,CUST-0190,The Breadhouse #190,Horeca,suburban,Whole Wheat,SKU-WW-002,4,26,13,5,6,8,1.5,19.5,0.9,40.0,No,0.0,No,3,33.7,Low,No
2024-09-07,CUST-0188,MiniStop #188,Minimarket,suburban,White Bread,SKU-WB-001,3,33,21,5,4,16,0.99,20.89,0.72,27.62,Yes,17.1,No,2,32.6,Low,No
2024-08-12,CUST-0095,Harbor Inn #95,Horeca,rural,Whole Wheat,SKU-WW-002,4,32,25,4,1,21,1.3,32.4,0.9,30.56,Yes,13.6,No,1,49.2,Medium,Yes
2024-08-08,CUST-0046,Tavern Hill #46,Horeca,rural,White Bread,SKU-WB-001,3,50,31,9,3,22,1.2,37.2,0.72,40.0,No,0.0,No,0,74.2,Medium,No
2024-11-24,CUST-0096,MegaShop #96,Supermarket,rural,White Bread,SKU-WB-001,3,237,187,25,9,162,1.2,224.4,0.72,40.0,No,0.0,No,0,88.6,High Volume,Yes
2024-09-22,CUST-0023,Harbor Inn #23,Horeca,urban,Toast Bread,SKU-TB-005,5,32,18,7,3,11,1.4,25.2,0.8,42.86,No,0.0,No,0,33.3,Low,No
2024-11-17,CUST-0195,ExpressGo #195,Minimarket,suburban,Whole Wheat,SKU-WW-002,4,85,44,0,0,44,1.5,66.0,0.9,40.0,No,0.0,Yes,0,41.3,Medium,No
2024-07-01,CUST-0195,ExpressGo #195,Minimarket,suburban,Lavash,SKU-LV-004,5,45,31,6,2,25,0.9,27.9,0.5,44.44,No,0.0,No,0,52.4,Medium,Yes
2024-09-10,CUST-0024,Classic Bread #24,Bakery Shop,suburban,White Bread,SKU-WB-001,3,48,33,6,3,27,1.2,39.6,0.72,40.0,No,0.0,No,0,53.7,Medium,Yes
2024-12-11,CUST-0101,QuickStop #101,Supermarket,suburban,White Bread,SKU-WB-001,3,260,244,12,1,232,1.02,249.17,0.72,29.49,Yes,14.9,No,0,73.1,High Volume,Yes
2024-10-24,CUST-0070,Grand Diner #70,Horeca,rural,Whole Wheat,SKU-WW-002,4,59,42,7,5,35,1.25,52.48,0.9,27.97,Yes,16.7,No,1,46.8,Medium,No
2024-10-24,CUST-0079,Tavern Hill #79,Horeca,suburban,Lavash,SKU-LV-004,5,68,49,7,4,42,0.83,40.84,0.5,40.0,Yes,7.4,No,0,41.8,Medium,Yes
2024-09-02,CUST-0092,Golden Crust #92,Bakery Shop,rural,Lavash,SKU-LV-004,5,26,18,4,1,14,0.9,16.2,0.5,44.44,No,0.0,No,0,52.5,Medium,Yes
2024-07-25,CUST-0119,SunMart #119,Supermarket,urban,White Bread,SKU-WB-001,3,213,190,10,5,180,1.14,216.14,0.72,36.71,Yes,5.2,No,0,98.1,High Volume,No
2024-07-22,CUST-0150,Urban Grill #150,Horeca,rural,Toast Bread,SKU-TB-005,5,98,49,0,0,49,1.4,68.6,0.8,42.86,No,0.0,Yes,3,72.0,High Volume,Yes
2024-09-23,CUST-0032,PocketStore #32,Minimarket,suburban,White Bread,SKU-WB-001,3,61,46,6,3,40,0.97,44.77,0.72,26.02,Yes,18.9,No,0,79.1,Medium,Yes
2024-08-17,CUST-0071,Bread Haven #71,Bakery Shop,rural,Baguette,SKU-BG-003,1,105,88,13,2,75,1.54,135.91,1.0,35.25,Yes,14.2,No,0,74.9,High Volume,Yes
